CID,FormalCharge,NumRotatableBonds,NumHAcceptors,NumHDonors,TPSA,LabuteASA,MolLogP
LON-WEI-b8d98729-12,0,8,4,1,71.53,197.3120201510601,6.646600000000005
LON-WEI-b8d98729-13,0,7,4,1,65.54,196.25529472530377,5.117520000000004
LON-WEI-b8d98729-14,0,7,4,1,65.54,196.25529472530377,5.117520000000004
LON-WEI-b8d98729-15,0,7,5,1,88.33,187.68807334344157,4.8285000000000045
LON-WEI-b8d98729-16,0,8,4,1,65.54,195.1176313484557,4.917420000000004
LON-WEI-b8d98729-17,0,9,4,1,71.53,194.47134290775918,5.250400000000004
LON-WEI-b8d98729-18,0,8,4,1,75.19,194.94238777359539,5.369820000000003
LON-WEI-b8d98729-19,0,8,4,1,71.53,195.6090062846073,5.450500000000004
LON-WEI-b8d98729-20,0,7,4,2,90.98,194.484943877411,4.8720200000000045
LON-WEI-b8d98729-21,0,6,4,2,90.98,185.69338376110287,4.654600000000003
LON-WEI-b8d98729-22,0,8,4,1,71.53,192.04472490584763,5.341400000000005
LON-WEI-b8d98729-23,0,5,5,1,88.33,165.36086336617072,3.5421000000000022
LON-WEI-b8d98729-24,0,7,4,1,62.3,184.32440547291282,5.3559000000000045
LON-WEI-b8d98729-25,0,7,6,1,84.42,188.553250233266,4.598900000000003
LON-WEI-b8d98729-26,0,8,5,1,84.42,193.69099088870567,4.816020000000004
LON-WEI-b8d98729-27,0,7,4,1,71.53,187.8731227733481,5.0080000000000044
LON-WEI-b8d98729-28,0,8,4,1,71.53,203.67696226545672,6.955020000000005
LON-WEI-b8d98729-29,0,8,3,1,62.3,204.9283591503464,7.5088200000000045
LON-WEI-b8d98729-30,0,8,5,1,74.77000000000002,200.23117657796257,4.672040000000004
LON-WEI-b8d98729-31,0,5,5,1,75.19,167.47743714088492,3.8663000000000025
LON-WEI-b8d98729-32,0,6,4,1,75.19,166.25023568192796,3.7750000000000017
LON-WEI-b8d98729-33,0,8,3,1,62.3,199.66106390513397,6.321600000000006
LON-WEI-b8d98729-34,0,6,3,2,65.2,119.5823525048526,1.3211999999999997
LON-WEI-b8d98729-35,0,8,3,1,62.3,203.22534528389363,6.430700000000006
LON-WEI-b8d98729-36,0,8,3,1,62.3,199.88827519557515,6.1157200000000085
LON-WEI-b8d98729-37,0,7,4,1,71.53,194.23806488774468,5.316420000000004
LON-WEI-b8d98729-38,0,7,5,1,75.19,189.80464711815566,5.152700000000004
LON-WEI-b8d98729-39,0,7,3,1,62.3,195.4894617726344,5.870220000000005
LON-WEI-b8d98729-40,0,8,5,1,71.53,191.86456870433116,5.019520000000004
LON-WEI-b8d98729-41,0,6,3,1,62.3,190.262183035086,5.7619000000000025
LON-WEI-b8d98729-42,0,8,4,1,65.54,201.48257346285226,5.225840000000005
LON-WEI-b8d98729-43,0,7,6,1,97.56,192.80161857294846,4.5831200000000045
LON-WEI-b8d98729-44,0,6,5,1,75.19,187.37802911624414,5.243700000000004
LON-WEI-b8d98729-45,0,9,4,1,71.53,200.83628502215575,5.558820000000005
LON-WEI-b8d98729-46,0,7,5,1,88.33,194.05301545783817,5.136920000000004
LON-WEI-b8d98729-47,0,8,5,1,71.53,185.49962658993456,4.711100000000003
LON-WEI-b8d98729-48,0,7,5,1,75.19,196.1695892325523,5.461120000000005
MAT-POS-916a2c5a-1,0,5,5,0,51.13,148.99479520545722,3.681800000000002
MAT-POS-916a2c5a-2,0,6,4,2,80.41999999999999,143.94957513853848,2.3455000000000004
MAT-POS-916a2c5a-3,0,3,4,1,90.55,187.27194514719238,2.9084800000000017
MAT-POS-916a2c5a-4,0,2,3,1,56.41,145.0514007971908,2.490500000000001
REN-UFA-aaaed2d6-3,0,4,2,0,23.550000000000004,143.7587316098675,3.278500000000002
JOO-IND-6372a4f3-4,0,3,2,0,23.550000000000004,125.01835982114208,2.670000000000001
JOO-IND-6372a4f3-6,0,3,2,0,23.550000000000004,133.81182236873764,3.018400000000001
JOO-IND-b13e14cc-1,0,2,3,0,33.2,116.11853740229671,3.1883000000000017
JOO-IND-b13e14cc-2,0,2,3,0,33.2,124.91199994989223,3.5367000000000024
KUS-THE-322b9b63-5,0,5,8,2,113.85,157.24963707823994,0.5136200000000011
KUS-THE-322b9b63-14,0,6,6,2,106.14,180.55107221180032,2.0478
KUS-THE-322b9b63-16,0,6,6,2,106.14,171.98672338593337,1.4517999999999998
JUA-UNI-bc099708-5,0,8,4,3,91.32,174.84723360066315,3.6680000000000033
WAR-XCH-72a8c209-5,0,5,3,1,43.78,157.43434716030563,3.402000000000002
NEH-REV-107bcf72-5,0,3,4,2,64.01,116.55308993846823,0.9808
SER-UNI-985a0e14-4,0,6,9,2,106.91,159.83813464915042,3.0948
TIM-UNK-6bd61028-2,0,2,3,0,42.43000000000001,121.50024983720041,2.7128000000000005
JAR-KUA-672ec752-1,0,3,6,0,42.01000000000001,142.93983292842708,2.1359999999999992
JAR-KUA-672ec752-3,0,4,5,2,95.73999999999998,146.99354951196557,0.6731000000000014
WAR-XCH-bdd24732-16,0,3,4,0,58.98,156.60249144451151,3.6366000000000014
WAR-XCH-79d12f6e-4,0,4,3,1,66.48,129.88036895429258,1.5031199999999998
WAR-XCH-b0339bbe-3,0,3,3,1,61.88,128.2647939073086,2.28622
WAR-XCH-b0339bbe-19,0,3,4,0,58.98,156.60249144451151,3.6366000000000014
RAI-NOV-2f6a9876-5,0,3,4,1,64.15,143.13239946353744,2.6864000000000012
RAI-NOV-2f6a9876-7,0,3,6,1,62.14,154.09694650398725,3.152700000000001
JAR-IMP-ed466bb3-13,0,3,3,1,80.47,164.02155119535715,3.121900000000002
SIM-SYN-3099a863-1,0,5,5,1,95.75,165.08924838326413,2.28614
MAK-UNK-0d6072ac-4,0,2,1,2,53.09,114.35774102629293,4.162600000000002
MAK-UNK-0d6072ac-20,0,2,1,2,53.09,120.72268314068957,4.471020000000002
MAK-UNK-0d6072ac-21,0,2,1,2,53.09,120.72268314068954,4.471020000000002
STU-CHA-83dacf15-1,0,4,4,1,83.71000000000002,153.5192263275612,1.1694999999999998
